Time;Server;Message_type;CPU Usage;Memory Usage;Latency;Transaction_ID;From_Server;Message
14.855066067192972;credit#eb94a860-9123-4520-9d3b-34ab3b3b0c4d;INFO;0.1;0.01;1.0918518676961908;89867b05-cd9a-4da4-bd04-a4d81ac4a39f;balance#c78dd101-15a9-4e95-b644-c7c74c835ea3;Requesting credit#eb94a860-9123-4520-9d3b-34ab3b3b0c4d by balance#c78dd101-15a9-4e95-b644-c7c74c835ea3
15.010467233887065;balance#2f7f0bb9-eb65-4585-b142-f0c6c3682bf6;ERROR;1.0;0.11;10.044186272552594;9e40861a-edf5-4e67-8cc3-4d903cf55ef2;client;Error due to TIMEOUT
15.027472081538363;authentication#68ebb694-4965-48e6-80ef-b41c8e492a5b;ERROR;0.6;0.06;6.089717480853078;0fce8ce1-599c-4836-a455-179c3f02adbc;balance#ed4be325-ccf9-4d51-9255-02a5a19f6b09;Error due to TIMEOUT
15.03847562608751;balance#2f7f0bb9-eb65-4585-b142-f0c6c3682bf6;ERROR;0.8;0.09;8.029133493486961;503798aa-3803-47ab-bfa4-c5a27f7204cb;authentication#bef0e5ab-5292-4b4c-b8af-388e876460ca;Error due to TIMEOUT
15.080805897710539;credit#da83d6a6-1cfa-434a-bf29-9e35596eba9b;INFO;0.3;0.03;3.088311923196076;a77d8b75-6a7b-4186-9c4f-75b98c2512fc;balance#298e8b6e-d34a-41fc-b78a-38243c7a133e;Requesting credit#da83d6a6-1cfa-434a-bf29-9e35596eba9b by balance#298e8b6e-d34a-41fc-b78a-38243c7a133e
15.15958115898816;balance#298e8b6e-d34a-41fc-b78a-38243c7a133e;ERROR;1.0;0.1;10.050885212040335;ccf7d5b0-3664-40c1-bcce-94495d148c1a;client;Error due to TIMEOUT
15.266275583083251;balance#4cdd46c4-7fd8-4154-8629-dd3fc4fe722c;ERROR;0.6;0.06;6.0896318256802;538eaf8e-8b4a-43ce-b5af-ad1fbff61631;authentication#7fbd1d06-dd5c-48b9-a27b-8d35cd6d33b8;Error due to TIMEOUT
15.280558322002673;authentication#bef0e5ab-5292-4b4c-b8af-388e876460ca;INFO;0.2;0.02;2.074913346612277;7012075a-47a3-4079-a494-3de5c13d5566;balance#4cdd46c4-7fd8-4154-8629-dd3fc4fe722c;Requesting authentication#bef0e5ab-5292-4b4c-b8af-388e876460ca by balance#4cdd46c4-7fd8-4154-8629-dd3fc4fe722c
15.305554403386754;balance#ed4be325-ccf9-4d51-9255-02a5a19f6b09;ERROR;0.8;0.09;8.024009416849424;53e007e5-e1ab-4976-9446-5a37d1d94536;authentication#68ebb694-4965-48e6-80ef-b41c8e492a5b;Error due to TIMEOUT
15.45618172281989;balance#2f7f0bb9-eb65-4585-b142-f0c6c3682bf6;ERROR;0.7;0.07;7.096310995530227;b6d79e9c-9578-4642-b83d-f8c8950f1617;authentication#14592ee6-fac0-46bd-881a-52d4dbc86f29;Error due to TIMEOUT
15.724591740485293;authentication#7fbd1d06-dd5c-48b9-a27b-8d35cd6d33b8;ERROR;0.4;0.04;4.046017962684623;d9fccfaf-e8fc-4e3a-afc2-b91acdff42f0;balance#c78dd101-15a9-4e95-b644-c7c74c835ea3;Error due to TIMEOUT
15.7655735069215;balance#4cdd46c4-7fd8-4154-8629-dd3fc4fe722c;ERROR;0.5;0.05;5.039405218085732;b38bbf0b-45de-435e-8ab7-c74142fa628e;authentication#37cd7f38-9399-4197-98e3-5d0c46f77465;Error due to TIMEOUT
16.085922427689823;credit#da83d6a6-1cfa-434a-bf29-9e35596eba9b;INFO;0.2;0.02;2.0573504343232125;c2577a66-9263-498d-947c-3d42ddd8f27b;balance#ed4be325-ccf9-4d51-9255-02a5a19f6b09;Requesting credit#da83d6a6-1cfa-434a-bf29-9e35596eba9b by balance#ed4be325-ccf9-4d51-9255-02a5a19f6b09
16.11745410180016;credit#c61e5cbf-21dc-47e0-930d-305f2aa2ea5c;INFO;0.2;0.02;2.0922922700819186;503798aa-3803-47ab-bfa4-c5a27f7204cb;balance#2f7f0bb9-eb65-4585-b142-f0c6c3682bf6;Requesting credit#c61e5cbf-21dc-47e0-930d-305f2aa2ea5c by balance#2f7f0bb9-eb65-4585-b142-f0c6c3682bf6
16.25682900343534;balance#ed4be325-ccf9-4d51-9255-02a5a19f6b09;ERROR;1.0;0.11;10.012215770078623;b31bb3de-da1a-48a9-a5c3-3111651aeb0c;client;Error due to TIMEOUT
16.296504925646186;credit#eb94a860-9123-4520-9d3b-34ab3b3b0c4d;INFO;0.1;0.01;1.056537749144869;538eaf8e-8b4a-43ce-b5af-ad1fbff61631;balance#4cdd46c4-7fd8-4154-8629-dd3fc4fe722c;Requesting credit#eb94a860-9123-4520-9d3b-34ab3b3b0c4d by balance#4cdd46c4-7fd8-4154-8629-dd3fc4fe722c
16.35684730761102;balance#298e8b6e-d34a-41fc-b78a-38243c7a133e;ERROR;0.8;0.08;8.092267736800217;bcc9f5a6-a013-4dc8-bc5c-2718703ab143;authentication#68ebb694-4965-48e6-80ef-b41c8e492a5b;Error due to TIMEOUT
16.390651092461628;credit#7ed01ede-7b86-4dd3-9641-c29af5eea4ff;INFO;0.2;0.02;2.0545516407145534;53e007e5-e1ab-4976-9446-5a37d1d94536;balance#ed4be325-ccf9-4d51-9255-02a5a19f6b09;Requesting credit#7ed01ede-7b86-4dd3-9641-c29af5eea4ff by balance#ed4be325-ccf9-4d51-9255-02a5a19f6b09
16.565636407138868;balance#4cdd46c4-7fd8-4154-8629-dd3fc4fe722c;ERROR;0.7;0.07;7.099681910359289;1d7cfb79-bf1b-4187-acca-d96d7aaebb55;client;Error due to TIMEOUT
16.775851172803105;balance#c78dd101-15a9-4e95-b644-c7c74c835ea3;ERROR;1.0;0.1;10.05677109838607;0636dbf6-acba-423a-a162-4b0dc7cf1d15;client;Error due to TIMEOUT
16.93802415889872;balance#c78dd101-15a9-4e95-b644-c7c74c835ea3;ERROR;1.0;0.11;10.081786729163296;ee4be6aa-dfbb-49bc-ac4f-68faa7348e63;client;Error due to TIMEOUT
16.95658514026252;authentication#14592ee6-fac0-46bd-881a-52d4dbc86f29;INFO;0.5;0.05;5.024988786394178;730b7b5d-b624-44a8-b88c-ed0c75d91db8;balance#4cdd46c4-7fd8-4154-8629-dd3fc4fe722c;Requesting authentication#14592ee6-fac0-46bd-881a-52d4dbc86f29 by balance#4cdd46c4-7fd8-4154-8629-dd3fc4fe722c
17.137578889034685;balance#298e8b6e-d34a-41fc-b78a-38243c7a133e;ERROR;0.8;0.08;8.073174440493702;d5a46cf8-d9d7-428d-901f-c74dcbfc05a6;client;Error due to TIMEOUT
17.344082575274655;balance#2f7f0bb9-eb65-4585-b142-f0c6c3682bf6;ERROR;0.9;0.09;9.03177774274681;95017bea-78cb-4e92-a478-3d10c51938aa;client;Error due to TIMEOUT
17.48341750541578;credit#c61e5cbf-21dc-47e0-930d-305f2aa2ea5c;INFO;0.1;0.01;1.0526271291677904;b6d79e9c-9578-4642-b83d-f8c8950f1617;balance#2f7f0bb9-eb65-4585-b142-f0c6c3682bf6;Requesting credit#c61e5cbf-21dc-47e0-930d-305f2aa2ea5c by balance#2f7f0bb9-eb65-4585-b142-f0c6c3682bf6
17.487996612705757;balance#ed4be325-ccf9-4d51-9255-02a5a19f6b09;ERROR;0.8;0.09;8.069256155906029;eff9fd23-a1ef-4e0e-8136-47aadcb7576e;authentication#37cd7f38-9399-4197-98e3-5d0c46f77465;Error due to TIMEOUT
17.515056782694856;credit#da83d6a6-1cfa-434a-bf29-9e35596eba9b;INFO;0.3;0.03;3.088317135529959;399395b4-417c-475a-892e-a922afcad018;balance#ed4be325-ccf9-4d51-9255-02a5a19f6b09;Requesting credit#da83d6a6-1cfa-434a-bf29-9e35596eba9b by balance#ed4be325-ccf9-4d51-9255-02a5a19f6b09
17.540310266745063;authentication#68ebb694-4965-48e6-80ef-b41c8e492a5b;ERROR;0.6;0.06;6.05945498769545;7bd70735-c4cb-4cbe-a9d1-e94db632cd4a;balance#2f7f0bb9-eb65-4585-b142-f0c6c3682bf6;Error due to TIMEOUT
17.54477844184494;authentication#7fbd1d06-dd5c-48b9-a27b-8d35cd6d33b8;ERROR;0.4;0.04;4.056614632225628;9bc024e7-449b-4cdf-9f41-83b7bf4fd856;balance#c78dd101-15a9-4e95-b644-c7c74c835ea3;Error due to TIMEOUT
17.757808233247758;balance#c78dd101-15a9-4e95-b644-c7c74c835ea3;ERROR;1.0;0.12;10.01386309002093;25e0b68b-6c0b-40fc-b181-e12f9ad2c289;client;Error due to TIMEOUT
