,Server,Time_floor,variable,Value
39,balance#0374213f-74f2-462d-b0d7-2c3958143a2a,39,CPU Usage,0.0
1046,balance#0374213f-74f2-462d-b0d7-2c3958143a2a,39,Memory Usage,0.0
2053,balance#0374213f-74f2-462d-b0d7-2c3958143a2a,39,Latency,0.0
40,balance#0374213f-74f2-462d-b0d7-2c3958143a2a,40,CPU Usage,0.0
1047,balance#0374213f-74f2-462d-b0d7-2c3958143a2a,40,Memory Usage,0.0
2054,balance#0374213f-74f2-462d-b0d7-2c3958143a2a,40,Latency,0.0
41,balance#0374213f-74f2-462d-b0d7-2c3958143a2a,41,CPU Usage,0.0
1048,balance#0374213f-74f2-462d-b0d7-2c3958143a2a,41,Memory Usage,0.0
2055,balance#0374213f-74f2-462d-b0d7-2c3958143a2a,41,Latency,0.0
42,balance#0374213f-74f2-462d-b0d7-2c3958143a2a,42,CPU Usage,0.0
1049,balance#0374213f-74f2-462d-b0d7-2c3958143a2a,42,Memory Usage,0.0
2056,balance#0374213f-74f2-462d-b0d7-2c3958143a2a,42,Latency,0.0
43,balance#0374213f-74f2-462d-b0d7-2c3958143a2a,43,CPU Usage,0.0
1050,balance#0374213f-74f2-462d-b0d7-2c3958143a2a,43,Memory Usage,0.0
2057,balance#0374213f-74f2-462d-b0d7-2c3958143a2a,43,Latency,0.0
44,balance#0374213f-74f2-462d-b0d7-2c3958143a2a,44,CPU Usage,0.0
1051,balance#0374213f-74f2-462d-b0d7-2c3958143a2a,44,Memory Usage,0.0
2058,balance#0374213f-74f2-462d-b0d7-2c3958143a2a,44,Latency,0.0
45,balance#0374213f-74f2-462d-b0d7-2c3958143a2a,45,CPU Usage,0.0
1052,balance#0374213f-74f2-462d-b0d7-2c3958143a2a,45,Memory Usage,0.0
2059,balance#0374213f-74f2-462d-b0d7-2c3958143a2a,45,Latency,0.0
46,balance#0374213f-74f2-462d-b0d7-2c3958143a2a,46,CPU Usage,0.0
1053,balance#0374213f-74f2-462d-b0d7-2c3958143a2a,46,Memory Usage,0.0
2060,balance#0374213f-74f2-462d-b0d7-2c3958143a2a,46,Latency,0.0
47,balance#0374213f-74f2-462d-b0d7-2c3958143a2a,47,CPU Usage,0.0
1054,balance#0374213f-74f2-462d-b0d7-2c3958143a2a,47,Memory Usage,0.0
2061,balance#0374213f-74f2-462d-b0d7-2c3958143a2a,47,Latency,0.0
48,balance#0374213f-74f2-462d-b0d7-2c3958143a2a,48,CPU Usage,0.0
1055,balance#0374213f-74f2-462d-b0d7-2c3958143a2a,48,Memory Usage,0.0
2062,balance#0374213f-74f2-462d-b0d7-2c3958143a2a,48,Latency,0.0
49,balance#0374213f-74f2-462d-b0d7-2c3958143a2a,49,CPU Usage,0.0
1056,balance#0374213f-74f2-462d-b0d7-2c3958143a2a,49,Memory Usage,0.0
2063,balance#0374213f-74f2-462d-b0d7-2c3958143a2a,49,Latency,0.0
50,balance#0374213f-74f2-462d-b0d7-2c3958143a2a,50,CPU Usage,0.0
1057,balance#0374213f-74f2-462d-b0d7-2c3958143a2a,50,Memory Usage,0.0
2064,balance#0374213f-74f2-462d-b0d7-2c3958143a2a,50,Latency,0.0
51,balance#0374213f-74f2-462d-b0d7-2c3958143a2a,51,CPU Usage,0.0
1058,balance#0374213f-74f2-462d-b0d7-2c3958143a2a,51,Memory Usage,0.0
2065,balance#0374213f-74f2-462d-b0d7-2c3958143a2a,51,Latency,0.0
52,balance#0374213f-74f2-462d-b0d7-2c3958143a2a,52,CPU Usage,0.0
1059,balance#0374213f-74f2-462d-b0d7-2c3958143a2a,52,Memory Usage,0.0
2066,balance#0374213f-74f2-462d-b0d7-2c3958143a2a,52,Latency,0.0
53,balance#0374213f-74f2-462d-b0d7-2c3958143a2a,53,CPU Usage,0.0
1060,balance#0374213f-74f2-462d-b0d7-2c3958143a2a,53,Memory Usage,0.0
2067,balance#0374213f-74f2-462d-b0d7-2c3958143a2a,53,Latency,0.0
54,balance#0374213f-74f2-462d-b0d7-2c3958143a2a,54,CPU Usage,0.0
1061,balance#0374213f-74f2-462d-b0d7-2c3958143a2a,54,Memory Usage,0.0
2068,balance#0374213f-74f2-462d-b0d7-2c3958143a2a,54,Latency,0.0
55,balance#0374213f-74f2-462d-b0d7-2c3958143a2a,55,CPU Usage,0.0
1062,balance#0374213f-74f2-462d-b0d7-2c3958143a2a,55,Memory Usage,0.0
2069,balance#0374213f-74f2-462d-b0d7-2c3958143a2a,55,Latency,0.0
56,balance#0374213f-74f2-462d-b0d7-2c3958143a2a,56,CPU Usage,0.0
1063,balance#0374213f-74f2-462d-b0d7-2c3958143a2a,56,Memory Usage,0.0
2070,balance#0374213f-74f2-462d-b0d7-2c3958143a2a,56,Latency,0.0
57,balance#0374213f-74f2-462d-b0d7-2c3958143a2a,57,CPU Usage,0.0
1064,balance#0374213f-74f2-462d-b0d7-2c3958143a2a,57,Memory Usage,0.0
2071,balance#0374213f-74f2-462d-b0d7-2c3958143a2a,57,Latency,0.0
58,balance#0374213f-74f2-462d-b0d7-2c3958143a2a,58,CPU Usage,0.0
1065,balance#0374213f-74f2-462d-b0d7-2c3958143a2a,58,Memory Usage,0.0
2072,balance#0374213f-74f2-462d-b0d7-2c3958143a2a,58,Latency,0.0
59,balance#0374213f-74f2-462d-b0d7-2c3958143a2a,59,CPU Usage,0.0
1066,balance#0374213f-74f2-462d-b0d7-2c3958143a2a,59,Memory Usage,0.0
2073,balance#0374213f-74f2-462d-b0d7-2c3958143a2a,59,Latency,0.0
60,balance#0374213f-74f2-462d-b0d7-2c3958143a2a,60,CPU Usage,0.0
1067,balance#0374213f-74f2-462d-b0d7-2c3958143a2a,60,Memory Usage,0.0
2074,balance#0374213f-74f2-462d-b0d7-2c3958143a2a,60,Latency,0.0
61,balance#0374213f-74f2-462d-b0d7-2c3958143a2a,61,CPU Usage,0.0
1068,balance#0374213f-74f2-462d-b0d7-2c3958143a2a,61,Memory Usage,0.0
2075,balance#0374213f-74f2-462d-b0d7-2c3958143a2a,61,Latency,0.0
62,balance#0374213f-74f2-462d-b0d7-2c3958143a2a,62,CPU Usage,0.0
1069,balance#0374213f-74f2-462d-b0d7-2c3958143a2a,62,Memory Usage,0.0
2076,balance#0374213f-74f2-462d-b0d7-2c3958143a2a,62,Latency,0.0
63,balance#0374213f-74f2-462d-b0d7-2c3958143a2a,63,CPU Usage,0.0
1070,balance#0374213f-74f2-462d-b0d7-2c3958143a2a,63,Memory Usage,0.0
2077,balance#0374213f-74f2-462d-b0d7-2c3958143a2a,63,Latency,0.0
64,balance#0374213f-74f2-462d-b0d7-2c3958143a2a,64,CPU Usage,0.0
1071,balance#0374213f-74f2-462d-b0d7-2c3958143a2a,64,Memory Usage,0.0
2078,balance#0374213f-74f2-462d-b0d7-2c3958143a2a,64,Latency,0.0
65,balance#0374213f-74f2-462d-b0d7-2c3958143a2a,65,CPU Usage,0.0
1072,balance#0374213f-74f2-462d-b0d7-2c3958143a2a,65,Memory Usage,0.0
2079,balance#0374213f-74f2-462d-b0d7-2c3958143a2a,65,Latency,0.0
