,Server,Time_floor,variable,Value
480,authentication#31fa1c1c-c69c-4db1-9e42-06a4034d1501,80,Memory Usage (%),3.5714285714285718e-06
880,authentication#31fa1c1c-c69c-4db1-9e42-06a4034d1501,80,Latency (s),0.00035714285714285714
81,authentication#31fa1c1c-c69c-4db1-9e42-06a4034d1501,81,CPU Usage (%),0.0
481,authentication#31fa1c1c-c69c-4db1-9e42-06a4034d1501,81,Memory Usage (%),0.0
881,authentication#31fa1c1c-c69c-4db1-9e42-06a4034d1501,81,Latency (s),0.0
82,authentication#31fa1c1c-c69c-4db1-9e42-06a4034d1501,82,CPU Usage (%),3.571428571428572e-05
482,authentication#31fa1c1c-c69c-4db1-9e42-06a4034d1501,82,Memory Usage (%),3.5714285714285718e-06
882,authentication#31fa1c1c-c69c-4db1-9e42-06a4034d1501,82,Latency (s),0.00035714285714285714
83,authentication#31fa1c1c-c69c-4db1-9e42-06a4034d1501,83,CPU Usage (%),7.407407407407407e-05
483,authentication#31fa1c1c-c69c-4db1-9e42-06a4034d1501,83,Memory Usage (%),7.4074074074074075e-06
883,authentication#31fa1c1c-c69c-4db1-9e42-06a4034d1501,83,Latency (s),0.0007407407407407407
84,authentication#31fa1c1c-c69c-4db1-9e42-06a4034d1501,84,CPU Usage (%),3.571428571428572e-05
484,authentication#31fa1c1c-c69c-4db1-9e42-06a4034d1501,84,Memory Usage (%),3.5714285714285718e-06
884,authentication#31fa1c1c-c69c-4db1-9e42-06a4034d1501,84,Latency (s),0.0
85,authentication#31fa1c1c-c69c-4db1-9e42-06a4034d1501,85,CPU Usage (%),7.692307692307693e-05
485,authentication#31fa1c1c-c69c-4db1-9e42-06a4034d1501,85,Memory Usage (%),7.692307692307692e-06
885,authentication#31fa1c1c-c69c-4db1-9e42-06a4034d1501,85,Latency (s),0.0011538461538461537
86,authentication#31fa1c1c-c69c-4db1-9e42-06a4034d1501,86,CPU Usage (%),0.0
486,authentication#31fa1c1c-c69c-4db1-9e42-06a4034d1501,86,Memory Usage (%),0.0
886,authentication#31fa1c1c-c69c-4db1-9e42-06a4034d1501,86,Latency (s),0.0
87,authentication#31fa1c1c-c69c-4db1-9e42-06a4034d1501,87,CPU Usage (%),0.0
487,authentication#31fa1c1c-c69c-4db1-9e42-06a4034d1501,87,Memory Usage (%),0.0
887,authentication#31fa1c1c-c69c-4db1-9e42-06a4034d1501,87,Latency (s),0.0
88,authentication#31fa1c1c-c69c-4db1-9e42-06a4034d1501,88,CPU Usage (%),7.692307692307693e-05
488,authentication#31fa1c1c-c69c-4db1-9e42-06a4034d1501,88,Memory Usage (%),7.692307692307692e-06
888,authentication#31fa1c1c-c69c-4db1-9e42-06a4034d1501,88,Latency (s),0.0007692307692307692
89,authentication#31fa1c1c-c69c-4db1-9e42-06a4034d1501,89,CPU Usage (%),0.0
489,authentication#31fa1c1c-c69c-4db1-9e42-06a4034d1501,89,Memory Usage (%),0.0
