,Server,Time_floor,variable,Value
1051,balance#af9bdf0b-b1b0-432f-8269-8431d638a7a1,1,Latency,0.0
64,balance#af9bdf0b-b1b0-432f-8269-8431d638a7a1,2,CPU Usage,0.0
558,balance#af9bdf0b-b1b0-432f-8269-8431d638a7a1,2,Memory Usage,0.0
1052,balance#af9bdf0b-b1b0-432f-8269-8431d638a7a1,2,Latency,0.0
65,balance#af9bdf0b-b1b0-432f-8269-8431d638a7a1,3,CPU Usage,0.0
559,balance#af9bdf0b-b1b0-432f-8269-8431d638a7a1,3,Memory Usage,0.0
1053,balance#af9bdf0b-b1b0-432f-8269-8431d638a7a1,3,Latency,0.0
66,balance#af9bdf0b-b1b0-432f-8269-8431d638a7a1,4,CPU Usage,0.0
560,balance#af9bdf0b-b1b0-432f-8269-8431d638a7a1,4,Memory Usage,0.0
1054,balance#af9bdf0b-b1b0-432f-8269-8431d638a7a1,4,Latency,0.0
67,balance#af9bdf0b-b1b0-432f-8269-8431d638a7a1,5,CPU Usage,0.0
561,balance#af9bdf0b-b1b0-432f-8269-8431d638a7a1,5,Memory Usage,0.0
1055,balance#af9bdf0b-b1b0-432f-8269-8431d638a7a1,5,Latency,0.0
68,balance#af9bdf0b-b1b0-432f-8269-8431d638a7a1,6,CPU Usage,0.0
562,balance#af9bdf0b-b1b0-432f-8269-8431d638a7a1,6,Memory Usage,0.0
1056,balance#af9bdf0b-b1b0-432f-8269-8431d638a7a1,6,Latency,0.0
69,balance#af9bdf0b-b1b0-432f-8269-8431d638a7a1,7,CPU Usage,0.0
563,balance#af9bdf0b-b1b0-432f-8269-8431d638a7a1,7,Memory Usage,0.0
1057,balance#af9bdf0b-b1b0-432f-8269-8431d638a7a1,7,Latency,0.0
70,balance#af9bdf0b-b1b0-432f-8269-8431d638a7a1,8,CPU Usage,0.0
564,balance#af9bdf0b-b1b0-432f-8269-8431d638a7a1,8,Memory Usage,0.0
1058,balance#af9bdf0b-b1b0-432f-8269-8431d638a7a1,8,Latency,0.0
71,balance#af9bdf0b-b1b0-432f-8269-8431d638a7a1,9,CPU Usage,0.0
565,balance#af9bdf0b-b1b0-432f-8269-8431d638a7a1,9,Memory Usage,0.0
1059,balance#af9bdf0b-b1b0-432f-8269-8431d638a7a1,9,Latency,0.0
72,balance#af9bdf0b-b1b0-432f-8269-8431d638a7a1,10,CPU Usage,0.0
566,balance#af9bdf0b-b1b0-432f-8269-8431d638a7a1,10,Memory Usage,0.0
1060,balance#af9bdf0b-b1b0-432f-8269-8431d638a7a1,10,Latency,0.0
73,balance#af9bdf0b-b1b0-432f-8269-8431d638a7a1,11,CPU Usage,0.0
567,balance#af9bdf0b-b1b0-432f-8269-8431d638a7a1,11,Memory Usage,0.0
1061,balance#af9bdf0b-b1b0-432f-8269-8431d638a7a1,11,Latency,0.0
74,balance#af9bdf0b-b1b0-432f-8269-8431d638a7a1,12,CPU Usage,0.0
568,balance#af9bdf0b-b1b0-432f-8269-8431d638a7a1,12,Memory Usage,0.0
1062,balance#af9bdf0b-b1b0-432f-8269-8431d638a7a1,12,Latency,0.0
75,balance#af9bdf0b-b1b0-432f-8269-8431d638a7a1,13,CPU Usage,0.0
569,balance#af9bdf0b-b1b0-432f-8269-8431d638a7a1,13,Memory Usage,0.0
1063,balance#af9bdf0b-b1b0-432f-8269-8431d638a7a1,13,Latency,0.0
76,balance#af9bdf0b-b1b0-432f-8269-8431d638a7a1,14,CPU Usage,0.0
570,balance#af9bdf0b-b1b0-432f-8269-8431d638a7a1,14,Memory Usage,0.0
1064,balance#af9bdf0b-b1b0-432f-8269-8431d638a7a1,14,Latency,0.0
77,balance#af9bdf0b-b1b0-432f-8269-8431d638a7a1,15,CPU Usage,0.0
571,balance#af9bdf0b-b1b0-432f-8269-8431d638a7a1,15,Memory Usage,0.0
1065,balance#af9bdf0b-b1b0-432f-8269-8431d638a7a1,15,Latency,0.0
78,balance#af9bdf0b-b1b0-432f-8269-8431d638a7a1,16,CPU Usage,0.0
572,balance#af9bdf0b-b1b0-432f-8269-8431d638a7a1,16,Memory Usage,0.0
1066,balance#af9bdf0b-b1b0-432f-8269-8431d638a7a1,16,Latency,0.0
79,balance#af9bdf0b-b1b0-432f-8269-8431d638a7a1,17,CPU Usage,0.0
573,balance#af9bdf0b-b1b0-432f-8269-8431d638a7a1,17,Memory Usage,0.0
1067,balance#af9bdf0b-b1b0-432f-8269-8431d638a7a1,17,Latency,0.0
80,balance#af9bdf0b-b1b0-432f-8269-8431d638a7a1,18,CPU Usage,0.0
574,balance#af9bdf0b-b1b0-432f-8269-8431d638a7a1,18,Memory Usage,0.0
1068,balance#af9bdf0b-b1b0-432f-8269-8431d638a7a1,18,Latency,0.0
81,balance#af9bdf0b-b1b0-432f-8269-8431d638a7a1,19,CPU Usage,0.0
575,balance#af9bdf0b-b1b0-432f-8269-8431d638a7a1,19,Memory Usage,0.0
1069,balance#af9bdf0b-b1b0-432f-8269-8431d638a7a1,19,Latency,0.0
82,balance#af9bdf0b-b1b0-432f-8269-8431d638a7a1,20,CPU Usage,0.0
576,balance#af9bdf0b-b1b0-432f-8269-8431d638a7a1,20,Memory Usage,0.0
1070,balance#af9bdf0b-b1b0-432f-8269-8431d638a7a1,20,Latency,0.0
83,balance#af9bdf0b-b1b0-432f-8269-8431d638a7a1,21,CPU Usage,0.0
577,balance#af9bdf0b-b1b0-432f-8269-8431d638a7a1,21,Memory Usage,0.0
1071,balance#af9bdf0b-b1b0-432f-8269-8431d638a7a1,21,Latency,0.0
84,balance#af9bdf0b-b1b0-432f-8269-8431d638a7a1,22,CPU Usage,0.0
578,balance#af9bdf0b-b1b0-432f-8269-8431d638a7a1,22,Memory Usage,0.0
1072,balance#af9bdf0b-b1b0-432f-8269-8431d638a7a1,22,Latency,0.0
85,balance#af9bdf0b-b1b0-432f-8269-8431d638a7a1,23,CPU Usage,0.0
579,balance#af9bdf0b-b1b0-432f-8269-8431d638a7a1,23,Memory Usage,0.0
1073,balance#af9bdf0b-b1b0-432f-8269-8431d638a7a1,23,Latency,0.0
86,balance#af9bdf0b-b1b0-432f-8269-8431d638a7a1,24,CPU Usage,0.0
580,balance#af9bdf0b-b1b0-432f-8269-8431d638a7a1,24,Memory Usage,0.0
1074,balance#af9bdf0b-b1b0-432f-8269-8431d638a7a1,24,Latency,0.0
87,balance#af9bdf0b-b1b0-432f-8269-8431d638a7a1,25,CPU Usage,0.0
581,balance#af9bdf0b-b1b0-432f-8269-8431d638a7a1,25,Memory Usage,0.0
1075,balance#af9bdf0b-b1b0-432f-8269-8431d638a7a1,25,Latency,0.0
88,balance#af9bdf0b-b1b0-432f-8269-8431d638a7a1,26,CPU Usage,0.0
582,balance#af9bdf0b-b1b0-432f-8269-8431d638a7a1,26,Memory Usage,0.0
1076,balance#af9bdf0b-b1b0-432f-8269-8431d638a7a1,26,Latency,0.0
89,balance#af9bdf0b-b1b0-432f-8269-8431d638a7a1,27,CPU Usage,0.0
583,balance#af9bdf0b-b1b0-432f-8269-8431d638a7a1,27,Memory Usage,0.0
1077,balance#af9bdf0b-b1b0-432f-8269-8431d638a7a1,27,Latency,0.0
90,balance#af9bdf0b-b1b0-432f-8269-8431d638a7a1,28,CPU Usage,0.0
584,balance#af9bdf0b-b1b0-432f-8269-8431d638a7a1,28,Memory Usage,0.0
1078,balance#af9bdf0b-b1b0-432f-8269-8431d638a7a1,28,Latency,0.0
91,balance#af9bdf0b-b1b0-432f-8269-8431d638a7a1,29,CPU Usage,0.0
585,balance#af9bdf0b-b1b0-432f-8269-8431d638a7a1,29,Memory Usage,0.0
1079,balance#af9bdf0b-b1b0-432f-8269-8431d638a7a1,29,Latency,0.0
92,balance#af9bdf0b-b1b0-432f-8269-8431d638a7a1,30,CPU Usage,0.0
586,balance#af9bdf0b-b1b0-432f-8269-8431d638a7a1,30,Memory Usage,0.0
1080,balance#af9bdf0b-b1b0-432f-8269-8431d638a7a1,30,Latency,0.0
93,balance#af9bdf0b-b1b0-432f-8269-8431d638a7a1,31,CPU Usage,0.0
587,balance#af9bdf0b-b1b0-432f-8269-8431d638a7a1,31,Memory Usage,0.0
1081,balance#af9bdf0b-b1b0-432f-8269-8431d638a7a1,31,Latency,0.0
94,balance#af9bdf0b-b1b0-432f-8269-8431d638a7a1,32,CPU Usage,0.0
588,balance#af9bdf0b-b1b0-432f-8269-8431d638a7a1,32,Memory Usage,0.0
1082,balance#af9bdf0b-b1b0-432f-8269-8431d638a7a1,32,Latency,0.0
95,balance#af9bdf0b-b1b0-432f-8269-8431d638a7a1,33,CPU Usage,0.0
589,balance#af9bdf0b-b1b0-432f-8269-8431d638a7a1,33,Memory Usage,0.0
1083,balance#af9bdf0b-b1b0-432f-8269-8431d638a7a1,33,Latency,0.0
96,balance#af9bdf0b-b1b0-432f-8269-8431d638a7a1,35,CPU Usage,0.0
590,balance#af9bdf0b-b1b0-432f-8269-8431d638a7a1,35,Memory Usage,0.0
1084,balance#af9bdf0b-b1b0-432f-8269-8431d638a7a1,35,Latency,0.0
97,balance#af9bdf0b-b1b0-432f-8269-8431d638a7a1,36,CPU Usage,0.0
591,balance#af9bdf0b-b1b0-432f-8269-8431d638a7a1,36,Memory Usage,0.0
1085,balance#af9bdf0b-b1b0-432f-8269-8431d638a7a1,36,Latency,0.0
98,balance#af9bdf0b-b1b0-432f-8269-8431d638a7a1,37,CPU Usage,0.0
592,balance#af9bdf0b-b1b0-432f-8269-8431d638a7a1,37,Memory Usage,0.0
1086,balance#af9bdf0b-b1b0-432f-8269-8431d638a7a1,37,Latency,0.0
99,balance#af9bdf0b-b1b0-432f-8269-8431d638a7a1,38,CPU Usage,0.0
593,balance#af9bdf0b-b1b0-432f-8269-8431d638a7a1,38,Memory Usage,0.0
1087,balance#af9bdf0b-b1b0-432f-8269-8431d638a7a1,38,Latency,0.0
100,balance#af9bdf0b-b1b0-432f-8269-8431d638a7a1,39,CPU Usage,0.0
594,balance#af9bdf0b-b1b0-432f-8269-8431d638a7a1,39,Memory Usage,0.0
1088,balance#af9bdf0b-b1b0-432f-8269-8431d638a7a1,39,Latency,0.0
101,balance#af9bdf0b-b1b0-432f-8269-8431d638a7a1,40,CPU Usage,0.0
595,balance#af9bdf0b-b1b0-432f-8269-8431d638a7a1,40,Memory Usage,0.0
1089,balance#af9bdf0b-b1b0-432f-8269-8431d638a7a1,40,Latency,0.0
102,balance#d5182443-4dc9-4254-90bb-36bcd85c45fd,1,CPU Usage,0.0
596,balance#d5182443-4dc9-4254-90bb-36bcd85c45fd,1,Memory Usage,0.0
1090,balance#d5182443-4dc9-4254-90bb-36bcd85c45fd,1,Latency,0.0
103,balance#d5182443-4dc9-4254-90bb-36bcd85c45fd,2,CPU Usage,0.0
597,balance#d5182443-4dc9-4254-90bb-36bcd85c45fd,2,Memory Usage,0.0
1091,balance#d5182443-4dc9-4254-90bb-36bcd85c45fd,2,Latency,0.0
104,balance#d5182443-4dc9-4254-90bb-36bcd85c45fd,3,CPU Usage,0.0
598,balance#d5182443-4dc9-4254-90bb-36bcd85c45fd,3,Memory Usage,0.0
